date,account,trades_count,net_pnl,avg_pnl,total_volume,profitable_trades,win_rate,profitable_day,value,classification,sentiment_numeric
2023-01-05,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,3,0.0,0.0,477.0,0,0.0,0,29.0,Fear,1.0
2023-05-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,9,0.0,0.0,50005.83,0,0.0,0,49.0,Neutral,2.0
2024-01-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,18,-129.5315,-7.1962,264239.53,1,0.05555555555555555,0,65.0,Greed,3.0
2024-01-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,6,0.0,0.0,2008.18,0,0.0,0,71.0,Greed,3.0
2024-01-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,137,8244.2414,60.1769,472974.7,128,0.9343065693430657,1,70.0,Greed,3.0
2024-01-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,29,0.8409,0.029,134989.44,2,0.06896551724137931,1,68.0,Greed,3.0
2024-01-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,48,2507.1225,52.2317,204481.03,40,0.8333333333333334,1,68.0,Greed,3.0
2024-01-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,14,0.0,0.0,87025.45,0,0.0,0,72.0,Greed,3.0
2024-01-06,0x8477e447846c758f5a675856001ea72298fd9cb5,25,91.5104,3.6604,12834.62,9,0.36,1,70.0,Greed,3.0
2024-01-07,0x4f93fead39b70a1824f981a54d4e55b278e9f760,13,1202.4882,92.4991,97200.55,9,0.6923076923076923,1,71.0,Greed,3.0
2024-01-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,51,3863.3511,75.752,265469.6,17,0.3333333333333333,1,71.0,Greed,3.0
2024-01-08,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,1,0.0,0.0,0.74,0,0.0,0,71.0,Greed,3.0
2024-01-08,0x4f93fead39b70a1824f981a54d4e55b278e9f760,13,0.0,0.0,143995.01,0,0.0,0,71.0,Greed,3.0
2024-01-08,0x8477e447846c758f5a675856001ea72298fd9cb5,34,167.08,4.9141,48714.35,4,0.11764705882352941,1,71.0,Greed,3.0
2024-01-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,9,0.0,0.0,35064.43,0,0.0,0,71.0,Greed,3.0
2024-01-09,0x8477e447846c758f5a675856001ea72298fd9cb5,12,137.4331,11.4528,12359.68,5,0.4166666666666667,1,76.0,Extreme Greed,4.0
2024-01-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,4,0.0,0.0,139954.32,0,0.0,0,73.0,Greed,3.0
2024-01-11,0x2c229d22b100a7beb69122eed721cee9b24011dd,14,-0.0991,-0.0071,29949.93,4,0.2857142857142857,0,76.0,Extreme Greed,4.0
2024-01-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,9,1040.5748,115.6194,231031.1,2,0.2222222222222222,1,76.0,Extreme Greed,4.0
2024-01-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,1,0.0,0.0,0.06,0,0.0,0,71.0,Greed,3.0
2024-01-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,193,4458.2549,23.0998,47695.56,97,0.5025906735751295,1,71.0,Greed,3.0
2024-01-12,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,3,13.5669,4.5223,34.1,2,0.6666666666666666,1,71.0,Greed,3.0
2024-01-12,0x39cef799f8b69da1995852eea189df24eb5cae3c,1,0.0,0.0,199.81,0,0.0,0,71.0,Greed,3.0
2024-01-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,4,197.4224,49.3556,1434.86,2,0.5,1,71.0,Greed,3.0
2024-01-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,27,337.8355,12.5124,600205.84,16,0.5925925925925926,1,71.0,Greed,3.0
2024-01-12,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,3,0.0,0.0,2998.76,0,0.0,0,71.0,Greed,3.0
2024-01-12,0x8477e447846c758f5a675856001ea72298fd9cb5,123,1169.4323,9.5076,109899.26,55,0.44715447154471544,1,71.0,Greed,3.0
2024-01-12,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,60,30648.0899,510.8015,47187.27,48,0.8,1,71.0,Greed,3.0
2024-02-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,17,783.9791,46.1164,121348.74,8,0.47058823529411764,1,63.0,Greed,3.0
2024-02-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,42,456.4235,10.8672,474278.43,13,0.30952380952380953,1,63.0,Greed,3.0
2024-02-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,24,1674.7152,69.7798,60253.79,21,0.875,1,60.0,Greed,3.0
2024-02-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,7,-1443.8146,-206.2592,2943.77,0,0.0,0,60.0,Greed,3.0
2024-02-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,37,883.7608,23.8854,224664.62,12,0.32432432432432434,1,60.0,Greed,3.0
2024-02-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,4,0.0,0.0,14999.89,0,0.0,0,60.0,Greed,3.0
2024-02-06,0x8477e447846c758f5a675856001ea72298fd9cb5,93,192.9069,2.0743,29464.51,34,0.3655913978494624,1,64.0,Greed,3.0
2024-02-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,18,2421.2531,134.5141,33347.47,13,0.7222222222222222,1,62.0,Greed,3.0
2024-02-08,0x4f93fead39b70a1824f981a54d4e55b278e9f760,36,0.0,0.0,295967.16,0,0.0,0,66.0,Greed,3.0
2024-02-08,0x8477e447846c758f5a675856001ea72298fd9cb5,15,228.2477,15.2165,29767.08,12,0.8,1,66.0,Greed,3.0
2024-02-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,12,554.1205,46.1767,70586.13,5,0.4166666666666667,1,66.0,Greed,3.0
2024-02-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,2,0.0,0.0,30000.42,0,0.0,0,72.0,Greed,3.0
2024-02-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,4,0.0,0.0,99954.34,0,0.0,0,74.0,Greed,3.0
2024-02-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,2,0.0,0.0,40000.0,0,0.0,0,71.0,Greed,3.0
2024-02-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,140,1283.846,9.1703,19651.71,73,0.5214285714285715,1,70.0,Greed,3.0
2024-02-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,52,10970.3829,210.9689,113250.84,29,0.5576923076923077,1,70.0,Greed,3.0
2024-02-12,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,1,0.0,0.0,0.0,0,0.0,0,70.0,Greed,3.0
2024-02-12,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,1,0.0,0.0,46692.72,0,0.0,0,70.0,Greed,3.0
2024-02-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,17,754.7378,44.3963,300751.24,6,0.35294117647058826,1,70.0,Greed,3.0
2024-02-12,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,6,0.0,0.0,2043.92,0,0.0,0,70.0,Greed,3.0
2024-02-12,0x8477e447846c758f5a675856001ea72298fd9cb5,8,254.1556,31.7695,13343.43,1,0.125,1,70.0,Greed,3.0
2024-02-12,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,44,0.0,0.0,78277.3,0,0.0,0,70.0,Greed,3.0
2024-03-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,67,866.0155,12.9256,394499.36,28,0.417910447761194,1,80.0,Extreme Greed,4.0
2024-03-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,56,223.3092,3.9877,603820.0,6,0.10714285714285714,1,80.0,Extreme Greed,4.0
2024-03-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,79,8361.0862,105.8365,390745.68,54,0.6835443037974683,1,83.0,Extreme Greed,4.0
2024-03-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2,126.7884,63.3942,6887.91,1,0.5,1,82.0,Extreme Greed,4.0
2024-03-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2,0.0,0.0,9999.66,0,0.0,0,82.0,Extreme Greed,4.0
2024-03-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,23,5319.8616,231.2983,277373.29,16,0.6956521739130435,1,90.0,Extreme Greed,4.0
2024-03-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,7,-13.8446,-1.9778,330.51,1,0.14285714285714285,0,90.0,Extreme Greed,4.0
2024-03-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,6,0.0,0.0,4978.85,0,0.0,0,90.0,Extreme Greed,4.0
2024-03-06,0x8477e447846c758f5a675856001ea72298fd9cb5,70,562.8082,8.0401,21466.86,44,0.6285714285714286,1,75.0,Extreme Greed,4.0
2024-03-07,0x4f93fead39b70a1824f981a54d4e55b278e9f760,10,1118.3873,111.8387,103880.08,4,0.4,1,82.0,Extreme Greed,4.0
2024-03-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,8,0.0,0.0,75720.58,0,0.0,0,82.0,Extreme Greed,4.0
2024-03-08,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,1,0.0,0.0,0.65,0,0.0,0,81.0,Extreme Greed,4.0
2024-03-08,0x4f93fead39b70a1824f981a54d4e55b278e9f760,13,0.0,0.0,112478.99,0,0.0,0,81.0,Extreme Greed,4.0
2024-03-08,0x8477e447846c758f5a675856001ea72298fd9cb5,1,464.1897,464.1897,4534.09,1,1.0,1,81.0,Extreme Greed,4.0
2024-03-08,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,16,0.0,0.0,148506.99,0,0.0,0,81.0,Extreme Greed,4.0
2024-03-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,6,0.0,0.0,25012.14,0,0.0,0,81.0,Extreme Greed,4.0
2024-03-10,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,5,100.3758,20.0752,12926.69,3,0.6,1,79.0,Extreme Greed,4.0
2024-03-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,4,0.0,0.0,120009.0,0,0.0,0,79.0,Extreme Greed,4.0
2024-03-11,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2,0.0,0.0,19061.32,0,0.0,0,82.0,Extreme Greed,4.0
2024-03-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,4,0.0,0.0,109994.34,0,0.0,0,82.0,Extreme Greed,4.0
2024-03-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,78,1190.3587,15.261,7205.03,37,0.47435897435897434,1,81.0,Extreme Greed,4.0
2024-03-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,59,121.5356,2.0599,99449.62,14,0.23728813559322035,1,81.0,Extreme Greed,4.0
2024-03-12,0x39cef799f8b69da1995852eea189df24eb5cae3c,1,0.0,0.0,209.94,0,0.0,0,81.0,Extreme Greed,4.0
2024-03-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,42,30.7272,0.7316,13860.79,1,0.023809523809523808,1,81.0,Extreme Greed,4.0
2024-03-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,9,1467.1002,163.0111,282371.72,4,0.4444444444444444,1,81.0,Extreme Greed,4.0
2024-03-12,0x8477e447846c758f5a675856001ea72298fd9cb5,6,-158.6957,-26.4493,16252.41,0,0.0,0,81.0,Extreme Greed,4.0
2024-03-12,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,34,0.0,0.0,99999.98,0,0.0,0,81.0,Extreme Greed,4.0
2024-03-12,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,144,17917.282,124.4256,543160.09,104,0.7222222222222222,1,81.0,Extreme Greed,4.0
2024-04-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,5,-67.6036,-13.5207,99792.54,0,0.0,0,79.0,Extreme Greed,4.0
2024-04-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,35,47.6239,1.3607,203187.53,9,0.2571428571428571,1,79.0,Extreme Greed,4.0
2024-04-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,287,26773.7716,93.2884,1574220.16,253,0.8815331010452961,1,71.0,Greed,3.0
2024-04-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,13,1026.0041,78.9234,3776.71,13,1.0,1,71.0,Greed,3.0
2024-04-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,32,0.0,0.0,95987.73,0,0.0,0,70.0,Greed,3.0
2024-04-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,6,0.0,0.0,53999.34,0,0.0,0,79.0,Extreme Greed,4.0
2024-04-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3,0.0,0.0,4999.41,0,0.0,0,79.0,Extreme Greed,4.0
2024-04-06,0x8477e447846c758f5a675856001ea72298fd9cb5,53,52.2114,0.9851,24243.41,25,0.4716981132075472,1,75.0,Extreme Greed,4.0
2024-04-07,0x4f93fead39b70a1824f981a54d4e55b278e9f760,14,0.0,0.0,255022.22,0,0.0,0,78.0,Extreme Greed,4.0
2024-04-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,11,0.0,0.0,175545.79,0,0.0,0,78.0,Extreme Greed,4.0
2024-04-08,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,1,0.0,0.0,0.01,0,0.0,0,76.0,Extreme Greed,4.0
2024-04-08,0x4f93fead39b70a1824f981a54d4e55b278e9f760,66,-14117.1728,-213.8966,323776.18,0,0.0,0,76.0,Extreme Greed,4.0
2024-04-08,0x8477e447846c758f5a675856001ea72298fd9cb5,17,109.0058,6.4121,36193.88,3,0.17647058823529413,1,76.0,Extreme Greed,4.0
2024-04-08,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,8,0.0,0.0,599.37,0,0.0,0,76.0,Extreme Greed,4.0
2024-04-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,27,0.0,0.0,135069.22,0,0.0,0,76.0,Extreme Greed,4.0
2024-04-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1,0.0,0.0,35004.98,0,0.0,0,80.0,Extreme Greed,4.0
2024-04-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,33,1065.7851,32.2965,96475.99,5,0.15151515151515152,1,80.0,Extreme Greed,4.0
2024-04-10,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1,0.0,0.0,0.34,0,0.0,0,78.0,Extreme Greed,4.0
2024-04-11,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,10,540.0591,54.0059,19601.33,10,1.0,1,76.0,Extreme Greed,4.0
2024-04-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,26,2259.3514,86.8981,432210.64,13,0.5,1,76.0,Extreme Greed,4.0
2024-04-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,112,9066.1696,80.9479,18567.68,60,0.5357142857142857,1,79.0,Extreme Greed,4.0
2024-04-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,36,4232.2067,117.5613,102111.17,24,0.6666666666666666,1,79.0,Extreme Greed,4.0
2024-04-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,102,910.5848,8.9273,81173.16,14,0.13725490196078433,1,79.0,Extreme Greed,4.0
2024-04-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,13,291.3527,22.4117,261052.42,3,0.23076923076923078,1,79.0,Extreme Greed,4.0
2024-04-12,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,10,33.2614,3.3261,6696.09,2,0.2,1,79.0,Extreme Greed,4.0
2024-04-12,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,1,0.0,0.0,0.1,0,0.0,0,79.0,Extreme Greed,4.0
2024-04-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,28,13238.0882,472.7889,13238.1,28,1.0,1,79.0,Extreme Greed,4.0
2024-05-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,66,164.1416,2.487,1703942.66,13,0.19696969696969696,1,54.0,Neutral,2.0
2024-05-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,72,-33.4542,-0.4646,770198.26,14,0.19444444444444445,0,43.0,Fear,1.0
2024-05-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,180,19791.026,109.9501,841810.32,163,0.9055555555555556,1,48.0,Neutral,2.0
2024-05-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,10,4444.4983,444.4498,172531.57,7,0.7,1,67.0,Greed,3.0
2024-05-04,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,82,5296.4338,64.5907,305295.15,75,0.9146341463414634,1,67.0,Greed,3.0
2024-05-04,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,8,965.5522,120.694,25965.08,8,1.0,1,67.0,Greed,3.0
2024-05-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,4,0.0,0.0,23986.05,0,0.0,0,69.0,Greed,3.0
2024-05-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2,0.916,0.458,82.3,1,0.5,1,69.0,Greed,3.0
2024-05-06,0x8477e447846c758f5a675856001ea72298fd9cb5,54,56.0555,1.0381,25350.77,16,0.2962962962962963,1,71.0,Greed,3.0
2024-05-07,0x4f93fead39b70a1824f981a54d4e55b278e9f760,20,0.0,0.0,270298.74,0,0.0,0,68.0,Greed,3.0
2024-05-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,12,0.0,0.0,1991.15,0,0.0,0,68.0,Greed,3.0
2024-05-08,0x4f93fead39b70a1824f981a54d4e55b278e9f760,16,-470.8181,-29.4261,112014.2,0,0.0,0,64.0,Greed,3.0
2024-05-08,0x8477e447846c758f5a675856001ea72298fd9cb5,17,160.4437,9.4379,40082.51,7,0.4117647058823529,1,64.0,Greed,3.0
2024-05-08,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,2,0.0,0.0,20107.61,0,0.0,0,64.0,Greed,3.0
2024-05-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,43,-3366.8235,-78.2982,127288.08,26,0.6046511627906976,0,64.0,Greed,3.0
2024-05-09,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,1,0.0,0.0,0.84,0,0.0,0,55.0,Greed,3.0
2024-05-10,0x430f09841d65beb3f27765503d0f850b8bce7713,1,0.0,0.0,0.61,0,0.0,0,66.0,Greed,3.0
2024-05-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,36,5767.1619,160.1989,605605.13,24,0.6666666666666666,1,66.0,Greed,3.0
2024-05-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,10,678.4759,67.8476,200627.23,5,0.5,1,53.0,Neutral,2.0
2024-05-12,0x271b280974205ca63b716753467d5a371de622ab,4,208.8175,52.2044,158123.95,3,0.75,1,56.0,Greed,3.0
2024-05-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,97,10288.925,106.0714,20406.19,47,0.4845360824742268,1,56.0,Greed,3.0
2024-05-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,33,2069.9263,62.725,29373.46,30,0.9090909090909091,1,56.0,Greed,3.0
2024-05-12,0x39cef799f8b69da1995852eea189df24eb5cae3c,6,0.0,0.0,61428.49,0,0.0,0,56.0,Greed,3.0
2024-05-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,290,3174.0237,10.9449,170421.23,106,0.36551724137931035,1,56.0,Greed,3.0
2024-05-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,19,1435.6872,75.5625,761409.11,2,0.10526315789473684,1,56.0,Greed,3.0
2024-05-12,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2,0.0,0.0,588.53,0,0.0,0,56.0,Greed,3.0
2024-06-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,22,135.5817,6.1628,298521.4,10,0.45454545454545453,1,72.0,Greed,3.0
2024-06-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1088,-215.6159,-0.1982,8047153.41,179,0.1645220588235294,0,73.0,Greed,3.0
2024-06-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,82,6814.8251,83.1076,327218.02,72,0.8780487804878049,1,73.0,Greed,3.0
2024-06-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,16,236.3351,14.7709,68223.67,4,0.25,1,73.0,Greed,3.0
2024-06-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,9,968.5904,107.6212,206016.43,4,0.4444444444444444,1,75.0,Extreme Greed,4.0
2024-06-06,0x8477e447846c758f5a675856001ea72298fd9cb5,234,274.1732,1.1717,137557.76,100,0.42735042735042733,1,78.0,Extreme Greed,4.0
2024-06-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,24,108.8722,4.5363,2490.17,7,0.2916666666666667,1,77.0,Extreme Greed,4.0
2024-06-08,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,27,215.7548,7.9909,771.0,8,0.2962962962962963,1,72.0,Greed,3.0
2024-06-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,80,51.5632,0.6445,60707.38,5,0.0625,1,72.0,Greed,3.0
2024-06-09,0x4f93fead39b70a1824f981a54d4e55b278e9f760,4,0.0,0.0,34990.67,0,0.0,0,75.0,Extreme Greed,4.0
2024-06-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,38,-1104.8568,-29.0752,4056.43,0,0.0,0,75.0,Extreme Greed,4.0
2024-06-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,22,130.4871,5.9312,300130.56,5,0.22727272727272727,1,72.0,Greed,3.0
2024-06-11,0x2c229d22b100a7beb69122eed721cee9b24011dd,3,-3.4112,-1.1371,2000.52,0,0.0,0,74.0,Greed,3.0
2024-06-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,12,2821.2484,235.104,121906.38,7,0.5833333333333334,1,74.0,Greed,3.0
2024-06-12,0x083384f897ee0f19899168e3b1bec365f52a9012,28,-10274.9996,-366.9643,70931.63,0,0.0,0,72.0,Greed,3.0
2024-06-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,34,0.0,0.0,48513.58,0,0.0,0,72.0,Greed,3.0
2024-06-12,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,69,389.1762,5.6402,8956.57,16,0.2318840579710145,1,72.0,Greed,3.0
2024-06-12,0x2c229d22b100a7beb69122eed721cee9b24011dd,9,-123.8701,-13.7633,20916.4,0,0.0,0,72.0,Greed,3.0
2024-06-12,0x39cef799f8b69da1995852eea189df24eb5cae3c,20,0.0,0.0,33151.06,0,0.0,0,72.0,Greed,3.0
2024-06-12,0x420ab45e0bd8863569a5efbb9c05d91f40624641,45,0.0,0.0,480326.66,0,0.0,0,72.0,Greed,3.0
2024-06-12,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,108,514.8865,4.7675,108996.49,32,0.2962962962962963,1,72.0,Greed,3.0
2024-06-12,0x4f93fead39b70a1824f981a54d4e55b278e9f760,58,4051.7409,69.8576,934261.01,20,0.3448275862068966,1,72.0,Greed,3.0
2024-06-12,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,1,0.0,0.0,292.11,0,0.0,0,72.0,Greed,3.0
2024-06-12,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,20,2488.7482,124.4374,2488.73,20,1.0,1,72.0,Greed,3.0
2024-07-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,97,-835.6812,-8.6153,1048850.06,9,0.09278350515463918,0,53.0,Neutral,2.0
2024-07-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,15,241.2421,16.0828,6758.73,2,0.13333333333333333,1,51.0,Neutral,2.0
2024-07-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,23,0.0,0.0,49988.14,0,0.0,0,44.0,Fear,1.0
2024-07-05,0x4f93fead39b70a1824f981a54d4e55b278e9f760,10,656.217,65.6217,98901.26,7,0.7,1,29.0,Fear,1.0
2024-07-05,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1,0.0,0.0,47.59,0,0.0,0,29.0,Fear,1.0
2024-07-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,7,227.3207,32.4744,9768.73,2,0.2857142857142857,1,29.0,Fear,1.0
2024-07-06,0x4f93fead39b70a1824f981a54d4e55b278e9f760,52,7329.2231,140.9466,785972.7,30,0.5769230769230769,1,26.0,Fear,1.0
2024-07-06,0x8477e447846c758f5a675856001ea72298fd9cb5,374,1573.2443,4.2065,311529.93,146,0.39037433155080214,1,26.0,Fear,1.0
2024-07-06,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14,0.0,0.0,1086.13,0,0.0,0,26.0,Fear,1.0
2024-07-07,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,10,61.4289,6.1429,498.75,10,1.0,1,29.0,Fear,1.0
2024-07-08,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,11,0.0,0.0,0.04,0,0.0,0,28.0,Fear,1.0
2024-07-08,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,1,0.0,0.0,500.0,0,0.0,0,28.0,Fear,1.0
2024-07-08,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,21,188.7893,8.99,1992.73,10,0.47619047619047616,1,28.0,Fear,1.0
2024-07-10,0x4f93fead39b70a1824f981a54d4e55b278e9f760,21,0.0,0.0,219984.65,0,0.0,0,28.0,Fear,1.0
2024-07-11,0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,16,503.4626,31.4664,30868.5,11,0.6875,1,29.0,Fear,1.0
2024-07-11,0x4f93fead39b70a1824f981a54d4e55b278e9f760,2,628.9625,314.4812,60628.85,1,0.5,1,29.0,Fear,1.0
2024-07-11,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,95,3360.9281,35.3782,19837.95,48,0.5052631578947369,1,29.0,Fear,1.0
2024-07-12,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,26,3515.0311,135.1935,52028.63,25,0.9615384615384616,1,25.0,Fear,1.0
